Customer Name-1,Row ID,Order ID,Customer ID,Product ID,Product Name,Customer Name,Country,State,City,Postal Code,Order Date,Ship Date,Ship Mode,Segment,Category,Sub-Category,Sales,Quantity,Profit,Discount,Region,Manufacturer,Return Reason,ï»¿Row ID
L. Smith,4779,CA-2018-132346,PK-19075,OFF-AP-10000696,Holmes Odor Grabber,Pete Kriz,United States,Delaware,Newark,19711,07-11-2018,11-11-2018,Standard Class,Consumer,Office Supplies,Appliances,USD100.94,7,33.3102,0,East,Holmes,Customer didn't like smell.,
c arnold,5237,CA-2015-166744,DN-13690,FUR-FU-10004952,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",Duane Noonan,United States,Maryland,Columbia,21044,20-09-2015,24-09-2015,Standard Class,Consumer,Furniture,Furnishings,USD164.22,3,50.9082,0,East,C-Line,The item DID NOT satisfy customer requirements.,
F Azad,5341,CA-2016-146486,DV-13465,TEC-AC-10002018,AmazonBasics 3-Button USB Wired Mouse,Dianna Vittorini,United States,New York,Oceanside,11572,09-11-2016,14-11-2016,Second Class,Consumer,Technology,Accessories,USD13.98,2,6.0114,0,East,Other,Desc. Listed mouse as rechargable; actual product takes AAA batteries,
L Smith,5709,US-2016-160857,NW-18400,OFF-SU-10000157,Compact Automatic Electric Letter Opener,Natalie Webber,United States,New York,New York City,10024,08-05-2016,15-05-2016,Standard Class,Consumer,Office Supplies,Supplies,USD357.93,3,7.1586,0,East,Other,Customer meant to remove this from cart before ordering,
R Chen,5880,CA-2017-133319,MV-17485,OFF-PA-10001815,Xerox 1885,Mark Van Huff,United States,New York,New York City,10011,05-09-2017,11-09-2017,Standard Class,Consumer,Office Supplies,Paper,USD192.16,4,92.2368,0,East,Xerox,Customer ordered too many,
M Gomez,6062,CA-2016-134201,EH-14125,OFF-AR-10002804,Faber Castell Col-Erase Pencils,Eugene Hildebrand,United States,New York,Rochester,14609,10-04-2016,16-04-2016,Standard Class,Home Office,Office Supplies,Art,USD14.67,3,6.0147,0,East,Other,customer ordered too many.,
L Jenkins,6094,CA-2018-100111,SV-20365,TEC-AC-10001465,SanDisk Cruzer 64 GB USB Flash Drive,Seth Vernon,United States,New York,New York City,10035,20-09-2018,26-09-2018,Standard Class,Consumer,Technology,Accessories,USD72.64,2,21.792,0,East,SanDisk,appeared to be corrupt,
K. Lawrence,8759,CA-2017-114307,MF-17665,FUR-FU-10000794,"Eldon Stackable Tray, Side-Load, Legal, Smoke",Maureen Fritzler,United States,Maryland,Columbia,21044,22-07-2017,26-07-2017,Standard Class,Corporate,Furniture,Furnishings,USD27.42,3,9.3228,0,East,Eldon,Customer found other solution,
R Chen,463,CA-2017-109869,TN-21040,FUR-FU-10000023,Eldon Wave Desk Accessories,Tanja Norvell,United States,AZ,Phoenix,85023,22-04-2017,29-04-2017,Standard Class,Home Office,Furniture,Furnishings,23.559999999999999,5,7.068,0.20000000000000001,West,Eldon,Customer bought comperable item at local store,
R Chen,463,CA-2017-109869,TN-21040,FUR-FU-10000023,Eldon Wave Desk Accessories,Tanja Norvell,United States,AZ,Phoenix,85023,22-04-2017,29-04-2017,Standard Class,Home Office,Furniture,Furnishings,23.559999999999999,5,7.068,0.20000000000000001,West,Eldon,Customer bought comperable item at local store,
R Chen,463,CA-2017-109869,TN-21040,FUR-FU-10000023,Eldon Wave Desk Accessories,Tanja Norvell,United States,AZ,Phoenix,85023,22-04-2017,29-04-2017,Standard Class,Home Office,Furniture,Furnishings,23.559999999999999,5,7.068,0.20000000000000001,West,Eldon,Customer bought comperable item at local store,
R Chen,463,CA-2017-109869,TN-21040,FUR-FU-10000023,Eldon Wave Desk Accessories,Tanja Norvell,United States,AZ,Phoenix,85023,22-04-2017,29-04-2017,Standard Class,Home Office,Furniture,Furnishings,23.559999999999999,5,7.068,0.20000000000000001,West,Eldon,Customer bought comperable item at local store,
R Chen,463,CA-2017-109869,TN-21040,FUR-FU-10000023,Eldon Wave Desk Accessories,Tanja Norvell,United States,AZ,Phoenix,85023,22-04-2017,29-04-2017,Standard Class,Home Office,Furniture,Furnishings,23.559999999999999,5,7.068,0.20000000000000001,West,Eldon,Customer bought comperable item at local store,
E Williams,5434,CA-2018-129707,LH-16750,OFF-AR-10000246,Newell 318,Larry Hughes,United States,AZ,Chandler,85224,25-04-2018,29-04-2018,Standard Class,Consumer,Office Supplies,Art,8.8960000000000008,4,0.6672,0.20000000000000001,West,Newell,Customer meant to order something else,
R Chen,6971,CA-2018-153822,AB-10105,OFF-ST-10000321,Akro Stacking Bins,Adrian Barton,United States,AZ,Phoenix,85023,19-09-2018,25-09-2018,Standard Class,Consumer,Office Supplies,Storage,12.624000000000001,2,-2.5248,0.20000000000000001,West,Akro,customer bought other solution elsewhere,
R Chen,6971,CA-2018-153822,AB-10105,OFF-ST-10000321,Akro Stacking Bins,Adrian Barton,United States,AZ,Phoenix,85023,19-09-2018,25-09-2018,Standard Class,Consumer,Office Supplies,Storage,12.624000000000001,2,-2.5248,0.20000000000000001,West,Akro,customer bought other solution elsewhere,
R Chen,6971,CA-2018-153822,AB-10105,OFF-ST-10000321,Akro Stacking Bins,Adrian Barton,United States,AZ,Phoenix,85023,19-09-2018,25-09-2018,Standard Class,Consumer,Office Supplies,Storage,12.624000000000001,2,-2.5248,0.20000000000000001,West,Akro,customer bought other solution elsewhere,
R Chen,6971,CA-2018-153822,AB-10105,OFF-ST-10000321,Akro Stacking Bins,Adrian Barton,United States,AZ,Phoenix,85023,19-09-2018,25-09-2018,Standard Class,Consumer,Office Supplies,Storage,12.624000000000001,2,-2.5248,0.20000000000000001,West,Akro,customer bought other solution elsewhere,
R. Chen,4350,CA-2018-169894,MV-17485,OFF-ST-10000060,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Mark Van Huff,United States,AZ,Mesa,85204,24-11-2018,29-11-2018,Second Class,Consumer,Office Supplies,Storage,415.87200000000001,8,-41.5872,0.20000000000000001,West,Fellowes,customer never received this item. Bought a different set at Target.,
R. Chen,4350,CA-2018-169894,MV-17485,OFF-ST-10000060,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Mark Van Huff,United States,AZ,Mesa,85204,24-11-2018,29-11-2018,Second Class,Consumer,Office Supplies,Storage,415.87200000000001,8,-41.5872,0.20000000000000001,West,Fellowes,customer never received this item. Bought a different set at Target.,
M Gomez,3297,US-2016-110569,EB-13870,OFF-BI-10001036,Cardinal EasyOpen D-Ring Binders,Emily Burns,United States,AZ,Phoenix,85023,23-05-2016,30-05-2016,Standard Class,Consumer,Office Supplies,Binders,19.193999999999999,7,-12.796,0.69999999999999996,West,Cardinal,one ring wouldn't open,
M Gomez,3297,US-2016-110569,EB-13870,OFF-BI-10001036,Cardinal EasyOpen D-Ring Binders,Emily Burns,United States,AZ,Phoenix,85023,23-05-2016,30-05-2016,Standard Class,Consumer,Office Supplies,Binders,19.193999999999999,7,-12.796,0.69999999999999996,West,Cardinal,one ring wouldn't open,
S Kelly,6019,CA-2015-102652,AY-10555,OFF-PA-10001977,Xerox 194,Andy Yotov,United States,CA,Los Angeles,90049,06-04-2015,12-04-2015,Standard Class,Corporate,Office Supplies,Paper,55.479999999999997,1,26.6304,0,West,Xerox,Customer didn't know item was in the cart.,
S Kelly,6019,CA-2015-102652,AY-10555,OFF-PA-10001977,Xerox 194,Andy Yotov,United States,CA,Los Angeles,90049,06-04-2015,12-04-2015,Standard Class,Corporate,Office Supplies,Paper,55.479999999999997,1,26.6304,0,West,Xerox,Customer didn't know item was in the cart.,
S Kelly,6019,CA-2015-102652,AY-10555,OFF-PA-10001977,Xerox 194,Andy Yotov,United States,CA,Los Angeles,90049,06-04-2015,12-04-2015,Standard Class,Corporate,Office Supplies,Paper,55.479999999999997,1,26.6304,0,West,Xerox,Customer didn't know item was in the cart.,
S Kelly,6019,CA-2015-102652,AY-10555,OFF-PA-10001977,Xerox 194,Andy Yotov,United States,CA,Los Angeles,90049,06-04-2015,12-04-2015,Standard Class,Corporate,Office Supplies,Paper,55.479999999999997,1,26.6304,0,West,Xerox,Customer didn't know item was in the cart.,
L Jenkins,5780,CA-2015-105270,AP-10915,FUR-CH-10000988,Hon Olson Stacker Stools,Arthur Prichep,United States,CA,Los Angeles,90008,11-11-2015,18-11-2015,Standard Class,Consumer,Furniture,Chairs,112.648,1,11.2648,0.20000000000000001,West,Hon,Customer didn't realize item was in cart,
L Jenkins,5780,CA-2015-105270,AP-10915,FUR-CH-10000988,Hon Olson Stacker Stools,Arthur Prichep,United States,CA,Los Angeles,90008,11-11-2015,18-11-2015,Standard Class,Consumer,Furniture,Chairs,112.648,1,11.2648,0.20000000000000001,West,Hon,Customer didn't realize item was in cart,
S Kelly,8367,CA-2015-109918,LR-17035,OFF-SU-10004290,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Lisa Ryan,United States,CA,Santa Clara,95051,07-09-2015,12-09-2015,Second Class,Corporate,Office Supplies,Supplies,27.359999999999999,4,7.3872,0,West,Acme,custmer ordered too many,
S Kelly,8367,CA-2015-109918,LR-17035,OFF-SU-10004290,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Lisa Ryan,United States,CA,Santa Clara,95051,07-09-2015,12-09-2015,Second Class,Corporate,Office Supplies,Supplies,27.359999999999999,4,7.3872,0,West,Acme,custmer ordered too many,
S Kelly,8367,CA-2015-109918,LR-17035,OFF-SU-10004290,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Lisa Ryan,United States,CA,Santa Clara,95051,07-09-2015,12-09-2015,Second Class,Corporate,Office Supplies,Supplies,27.359999999999999,4,7.3872,0,West,Acme,custmer ordered too many,
L Jenkins,4040,CA-2015-110786,AJ-10795,TEC-MA-10003183,DYMO CardScan Personal V9 Business Card Scanner,Anthony Johnson,United States,CA,San Francisco,94110,29-12-2015,02-01-2016,Standard Class,Corporate,Technology,Machines,767.952,6,287.982,0.20000000000000001,West,Other,cust didn't realize item was in cart,
L Jenkins,4040,CA-2015-110786,AJ-10795,TEC-MA-10003183,DYMO CardScan Personal V9 Business Card Scanner,Anthony Johnson,United States,CA,San Francisco,94110,29-12-2015,02-01-2016,Standard Class,Corporate,Technology,Machines,767.952,6,287.982,0.20000000000000001,West,Other,cust didn't realize item was in cart,
L Jenkins,4040,CA-2015-110786,AJ-10795,TEC-MA-10003183,DYMO CardScan Personal V9 Business Card Scanner,Anthony Johnson,United States,CA,San Francisco,94110,29-12-2015,02-01-2016,Standard Class,Corporate,Technology,Machines,767.952,6,287.982,0.20000000000000001,West,Other,cust didn't realize item was in cart,
L Jenkins,4040,CA-2015-110786,AJ-10795,TEC-MA-10003183,DYMO CardScan Personal V9 Business Card Scanner,Anthony Johnson,United States,CA,San Francisco,94110,29-12-2015,02-01-2016,Standard Class,Corporate,Technology,Machines,767.952,6,287.982,0.20000000000000001,West,Other,cust didn't realize item was in cart,
L Jenkins,4040,CA-2015-110786,AJ-10795,TEC-MA-10003183,DYMO CardScan Personal V9 Business Card Scanner,Anthony Johnson,United States,CA,San Francisco,94110,29-12-2015,02-01-2016,Standard Class,Corporate,Technology,Machines,767.952,6,287.982,0.20000000000000001,West,Other,cust didn't realize item was in cart,
L Jenkins,4040,CA-2015-110786,AJ-10795,TEC-MA-10003183,DYMO CardScan Personal V9 Business Card Scanner,Anthony Johnson,United States,CA,San Francisco,94110,29-12-2015,02-01-2016,Standard Class,Corporate,Technology,Machines,767.952,6,287.982,0.20000000000000001,West,Other,cust didn't realize item was in cart,
L Jenkins,4040,CA-2015-110786,AJ-10795,TEC-MA-10003183,DYMO CardScan Personal V9 Business Card Scanner,Anthony Johnson,United States,CA,San Francisco,94110,29-12-2015,02-01-2016,Standard Class,Corporate,Technology,Machines,767.952,6,287.982,0.20000000000000001,West,Other,cust didn't realize item was in cart,
S Kelly,7197,CA-2015-116785,MH-17290,OFF-AR-10003504,Newell 347,Marc Harrigan,United States,CA,Los Angeles,90036,26-04-2015,30-04-2015,Standard Class,Home Office,Office Supplies,Art,21.399999999999999,5,6.206,0,West,Newell,Customer didn't realize wishlist item was in the cart.,
S Kelly,7197,CA-2015-116785,MH-17290,OFF-AR-10003504,Newell 347,Marc Harrigan,United States,CA,Los Angeles,90036,26-04-2015,30-04-2015,Standard Class,Home Office,Office Supplies,Art,21.399999999999999,5,6.206,0,West,Newell,Customer didn't realize wishlist item was in the cart.,
s kelly,1652,CA-2015-135699,HH-15010,OFF-PA-10003001,Xerox 1986,Hilary Holden,United States,CA,San Francisco,94110,29-08-2015,29-08-2015,Same Day,Corporate,Office Supplies,Paper,13.359999999999999,2,6.4128,0,West,Xerox,"customer didn't realize that the item was in the cart, rather than wishlist.",
s kelly,1652,CA-2015-135699,HH-15010,OFF-PA-10003001,Xerox 1986,Hilary Holden,United States,CA,San Francisco,94110,29-08-2015,29-08-2015,Same Day,Corporate,Office Supplies,Paper,13.359999999999999,2,6.4128,0,West,Xerox,"customer didn't realize that the item was in the cart, rather than wishlist.",
R. Duchesne,5970,CA-2015-141726,CC-12145,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,Charles Crestani,United States,CA,San Diego,92105,20-07-2015,22-07-2015,First Class,Consumer,Office Supplies,Binders,8.7040000000000006,2,3.1552,0.20000000000000001,West,Wilson Jones,custmer didn't know item was in cart,
R. Duchesne,5971,CA-2015-141726,CC-12145,OFF-PA-10002230,Xerox 1897,Charles Crestani,United States,CA,San Diego,92105,20-07-2015,22-07-2015,First Class,Consumer,Office Supplies,Paper,19.920000000000002,4,9.7608,0,West,Xerox,customer didn't know item was in cart,
R. Duchesne,5970,CA-2015-141726,CC-12145,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,Charles Crestani,United States,CA,San Diego,92105,20-07-2015,22-07-2015,First Class,Consumer,Office Supplies,Binders,8.7040000000000006,2,3.1552,0.20000000000000001,West,Wilson Jones,custmer didn't know item was in cart,
R. Duchesne,5971,CA-2015-141726,CC-12145,OFF-PA-10002230,Xerox 1897,Charles Crestani,United States,CA,San Diego,92105,20-07-2015,22-07-2015,First Class,Consumer,Office Supplies,Paper,19.920000000000002,4,9.7608,0,West,Xerox,customer didn't know item was in cart,
R. Duchesne,5970,CA-2015-141726,CC-12145,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,Charles Crestani,United States,CA,San Diego,92105,20-07-2015,22-07-2015,First Class,Consumer,Office Supplies,Binders,8.7040000000000006,2,3.1552,0.20000000000000001,West,Wilson Jones,custmer didn't know item was in cart,
R. Duchesne,5971,CA-2015-141726,CC-12145,OFF-PA-10002230,Xerox 1897,Charles Crestani,United States,CA,San Diego,92105,20-07-2015,22-07-2015,First Class,Consumer,Office Supplies,Paper,19.920000000000002,4,9.7608,0,West,Xerox,customer didn't know item was in cart,
R. Duchesne,5970,CA-2015-141726,CC-12145,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,Charles Crestani,United States,CA,San Diego,92105,20-07-2015,22-07-2015,First Class,Consumer,Office Supplies,Binders,8.7040000000000006,2,3.1552,0.20000000000000001,West,Wilson Jones,custmer didn't know item was in cart,
R. Duchesne,5971,CA-2015-141726,CC-12145,OFF-PA-10002230,Xerox 1897,Charles Crestani,United States,CA,San Diego,92105,20-07-2015,22-07-2015,First Class,Consumer,Office Supplies,Paper,19.920000000000002,4,9.7608,0,West,Xerox,customer didn't know item was in cart,
EWilliams,19,CA-2015-143336,ZD-21925,OFF-AR-10003056,Newell 341,Zuschuss Donatelli,United States,CA,San Francisco,94109,27-08-2015,01-09-2015,Second Class,Consumer,Office Supplies,Art,8.5600000000000005,2,2.4824,0,West,Newell,Customer tried to remove item before ordering,
EWilliams,19,CA-2015-143336,ZD-21925,OFF-AR-10003056,Newell 341,Zuschuss Donatelli,United States,CA,San Francisco,94109,27-08-2015,01-09-2015,Second Class,Consumer,Office Supplies,Art,8.5600000000000005,2,2.4824,0,West,Newell,Customer tried to remove item before ordering,
EWilliams,19,CA-2015-143336,ZD-21925,OFF-AR-10003056,Newell 341,Zuschuss Donatelli,United States,CA,San Francisco,94109,27-08-2015,01-09-2015,Second Class,Consumer,Office Supplies,Art,8.5600000000000005,2,2.4824,0,West,Newell,Customer tried to remove item before ordering,
L. Jenkins,5738,CA-2015-148614,MV-17485,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Mark Van Huff,United States,CA,Los Angeles,90049,20-01-2015,25-01-2015,Standard Class,Consumer,Furniture,Furnishings,19.300000000000001,2,5.79,0,West,Eldon,pencil holder was cracked on delivery,
L. Jenkins,5738,CA-2015-148614,MV-17485,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Mark Van Huff,United States,CA,Los Angeles,90049,20-01-2015,25-01-2015,Standard Class,Consumer,Furniture,Furnishings,19.300000000000001,2,5.79,0,West,Eldon,pencil holder was cracked on delivery,
C Arnold,1611,CA-2015-156349,ML-17395,FUR-BO-10000362,Sauder Inglewood Library Bookcases,Marina Lichtenstein,United States,CA,Los Angeles,90008,26-05-2015,30-05-2015,Standard Class,Corporate,Furniture,Bookcases,290.666,2,27.3568,0.14999999999999999,West,Sauder,customer didn't know item was in cart,
C Arnold,1611,CA-2015-156349,ML-17395,FUR-BO-10000362,Sauder Inglewood Library Bookcases,Marina Lichtenstein,United States,CA,Los Angeles,90008,26-05-2015,30-05-2015,Standard Class,Corporate,Furniture,Bookcases,290.666,2,27.3568,0.14999999999999999,West,Sauder,customer didn't know item was in cart,
C Arnold,1611,CA-2015-156349,ML-17395,FUR-BO-10000362,Sauder Inglewood Library Bookcases,Marina Lichtenstein,United States,CA,Los Angeles,90008,26-05-2015,30-05-2015,Standard Class,Corporate,Furniture,Bookcases,290.666,2,27.3568,0.14999999999999999,West,Sauder,customer didn't know item was in cart,
M Gomez,4168,CA-2015-157924,HA-14920,OFF-ST-10002352,Iris Project Case,Helen Andreada,United States,CA,Pasadena,91104,11-10-2015,13-10-2015,First Class,Consumer,Office Supplies,Storage,31.920000000000002,4,8.2992,0,West,Iris,Customer didn't realize item was still in cart.,
M Gomez,4168,CA-2015-157924,HA-14920,OFF-ST-10002352,Iris Project Case,Helen Andreada,United States,CA,Pasadena,91104,11-10-2015,13-10-2015,First Class,Consumer,Office Supplies,Storage,31.920000000000002,4,8.2992,0,West,Iris,Customer didn't realize item was still in cart.,
F Azad,1984,CA-2015-164721,LW-16825,OFF-AP-10000240,Belkin F9G930V10-GRY 9 Outlet Surge,Laurel Workman,United States,CA,Brentwood,94513,25-11-2015,27-11-2015,Second Class,Corporate,Office Supplies,Appliances,320.88,6,93.0552,0,West,Belkin,customer thought item was out of cart.,
F Azad,1984,CA-2015-164721,LW-16825,OFF-AP-10000240,Belkin F9G930V10-GRY 9 Outlet Surge,Laurel Workman,United States,CA,Brentwood,94513,25-11-2015,27-11-2015,Second Class,Corporate,Office Supplies,Appliances,320.88,6,93.0552,0,West,Belkin,customer thought item was out of cart.,
F Azad,1984,CA-2015-164721,LW-16825,OFF-AP-10000240,Belkin F9G930V10-GRY 9 Outlet Surge,Laurel Workman,United States,CA,Brentwood,94513,25-11-2015,27-11-2015,Second Class,Corporate,Office Supplies,Appliances,320.88,6,93.0552,0,West,Belkin,customer thought item was out of cart.,
M Gomez,800,CA-2016-101910,CD-11920,FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Carlos Daly,United States,CA,Lake Elsinore,92530,27-11-2016,03-12-2016,Standard Class,Consumer,Furniture,Chairs,283.92000000000002,5,17.745,0.20000000000000001,West,Other,only three chairs were delivered in package,
F. Azad,6088,CA-2016-114048,EH-13945,FUR-FU-10004351,Staple-based wall hangings,Eric Hoffmann,United States,CA,Costa Mesa,92627,14-12-2016,18-12-2016,Standard Class,Consumer,Furniture,Furnishings,29.219999999999999,3,12.8568,0,West,Staple-based wall hangings,customer didn't want this anymore,
M Gomez,2252,CA-2016-116092,JM-16195,OFF-PA-10000477,Xerox 22,Justin MacKendrick,United States,CA,Los Angeles,90004,15-02-2016,18-02-2016,Second Class,Consumer,Office Supplies,Paper,19.440000000000001,3,9.3312,0,West,Xerox,Customer didn't realize item was in cart,
M Gomez,2252,CA-2016-116092,JM-16195,OFF-PA-10000477,Xerox 22,Justin MacKendrick,United States,CA,Los Angeles,90004,15-02-2016,18-02-2016,Second Class,Consumer,Office Supplies,Paper,19.440000000000001,3,9.3312,0,West,Xerox,Customer didn't realize item was in cart,
M Gomez,2252,CA-2016-116092,JM-16195,OFF-PA-10000477,Xerox 22,Justin MacKendrick,United States,CA,Los Angeles,90004,15-02-2016,18-02-2016,Second Class,Consumer,Office Supplies,Paper,19.440000000000001,3,9.3312,0,West,Xerox,Customer didn't realize item was in cart,
M Gomez,2252,CA-2016-116092,JM-16195,OFF-PA-10000477,Xerox 22,Justin MacKendrick,United States,CA,Los Angeles,90004,15-02-2016,18-02-2016,Second Class,Consumer,Office Supplies,Paper,19.440000000000001,3,9.3312,0,West,Xerox,Customer didn't realize item was in cart,
M Gomez,2252,CA-2016-116092,JM-16195,OFF-PA-10000477,Xerox 22,Justin MacKendrick,United States,CA,Los Angeles,90004,15-02-2016,18-02-2016,Second Class,Consumer,Office Supplies,Paper,19.440000000000001,3,9.3312,0,West,Xerox,Customer didn't realize item was in cart,
L Jenkins,4059,CA-2016-124058,LC-16885,TEC-PH-10004774,Gear Head AU3700S Headset,Lena Creighton,United States,CA,Oakland,94601,20-11-2016,24-11-2016,Standard Class,Consumer,Technology,Phones,72.744,7,-15.4581,0.20000000000000001,West,Other,Customer found his headset. No longer needs this item,
L Jenkins,4059,CA-2016-124058,LC-16885,TEC-PH-10004774,Gear Head AU3700S Headset,Lena Creighton,United States,CA,Oakland,94601,20-11-2016,24-11-2016,Standard Class,Consumer,Technology,Phones,72.744,7,-15.4581,0.20000000000000001,West,Other,Customer found his headset. No longer needs this item,
M Gomez,1763,CA-2016-130785,AG-10900,FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Arthur Gainer,United States,CA,San Diego,92105,05-09-2016,09-09-2016,Standard Class,Consumer,Furniture,Bookcases,293.19900000000001,3,-20.6964,0.14999999999999999,West,Sauder,Customer found better deal elsewhere,
M Gomez,1763,CA-2016-130785,AG-10900,FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Arthur Gainer,United States,CA,San Diego,92105,05-09-2016,09-09-2016,Standard Class,Consumer,Furniture,Bookcases,293.19900000000001,3,-20.6964,0.14999999999999999,West,Sauder,Customer found better deal elsewhere,
M Gomez,1763,CA-2016-130785,AG-10900,FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Arthur Gainer,United States,CA,San Diego,92105,05-09-2016,09-09-2016,Standard Class,Consumer,Furniture,Bookcases,293.19900000000001,3,-20.6964,0.14999999999999999,West,Sauder,Customer found better deal elsewhere,
